prompt,answer,topic,family,difficulty
"In Roman society, what were Vestal Virgins?",priestesses who maintained the sacred fire of Vesta,History,Ancient Rome,starter
"In the Roman army, what was a auxilia?",non‑citizen troops supporting the legions,History,Ancient Rome,starter
"In Roman society, what were gladiators?",fighters in public spectacles,History,Ancient Rome,mid
"In Roman religion, who or what was Mars?",god of war,History,Ancient Rome,starter
Which battle saw Goths killed Emperor Valens in AD 378?,Battle of Adrianople,History,Ancient Rome,starter
"In the Roman Empire, what was Africa Proconsularis?",province providing much of Rome's grain supply,History,Ancient Rome,starter
Which Roman emperor was known as emperor who fought in gladiatorial games?,Commodus,History,Ancient Rome,mid
Which battle saw Caesar defeated Vercingetorix in 52 BC?,Battle of Alesia,History,Ancient Rome,starter
"In the Roman Empire, what was Britannia?",province conquered under Claudius in AD 43,History,Ancient Rome,starter
Which Roman emperor was known as first emperor of Rome?,Augustus,History,Ancient Rome,mid
"In Roman engineering, what was the Trajan's Market?",large complex of shops and offices,History,Ancient Rome,hard
Which Roman emperor was known as issued the Constitutio Antoniniana in AD 212?,Caracalla,History,Ancient Rome,hard
When did the Sack of Rome by Visigoths occur?,AD 410,History,Ancient Rome,starter
"In Roman society, what were clientela?",patron‑client relationship system,History,Ancient Rome,mid
"In Roman engineering, what was the aqueducts?",structures carrying water to cities,History,Ancient Rome,starter
When did the Eruption of Vesuvius occur?,AD 79,History,Ancient Rome,hard
Which Roman emperor was known as expanded Rome to its largest size?,Trajan,History,Ancient Rome,hard
Which Roman law or reform was calendar reform introduced by Julius Caesar (45 BC)?,Julian Calendar,History,Ancient Rome,mid
Which Roman emperor was known as conquered Britannia in AD 43?,Claudius,History,Ancient Rome,starter
"In Roman engineering, what was the Colosseum?",huge amphitheatre for games,History,Ancient Rome,hard
"In the Roman Empire, what was Gallia Narbonensis?",province in southern Gaul,History,Ancient Rome,starter
"In Roman engineering, what was the Arch of Titus?",monument celebrating the conquest of Jerusalem,History,Ancient Rome,mid
"In Roman religion, who or what was Janus?",god of beginnings,History,Ancient Rome,starter
"In Roman society, what were thermae?",public bath complexes,History,Ancient Rome,mid
"In Roman religion, who or what was Pontifex Maximus?",chief priest of Rome,History,Ancient Rome,mid
"In Roman literature, who was Virgil?",poet who wrote the 'Aeneid',History,Ancient Rome,mid
"In Roman society, what were domus?",townhouses of wealthy Romans,History,Ancient Rome,starter
Which Roman law or reform was made plebiscites binding on all Romans (287 BC)?,Lex Hortensia,History,Ancient Rome,mid
"In the Roman army, what was a praetorian guard?",elite bodyguard of the emperor,History,Ancient Rome,starter
Which Roman law or reform was legalised Christianity (AD 313)?,Edict of Milan,History,Ancient Rome,hard
"In Roman literature, who was Tacitus?",historian who wrote the 'Annals',History,Ancient Rome,hard
"In the Roman Empire, what was Hispania?",Iberian provinces producing silver and olive oil,History,Ancient Rome,starter
Which Roman law or reform was allowed patrician‑plebeian intermarriage (445 BC)?,Lex Canuleia,History,Ancient Rome,mid
"In the Roman Empire, what was Judea?",province where Jewish revolts occurred,History,Ancient Rome,mid
When did the Assassination of Julius Caesar occur?,44 BC,History,Ancient Rome,mid
"In the Roman Empire, what was Dacia?",province conquered by Trajan in AD 106,History,Ancient Rome,hard
"In Roman society, what were forum?",central marketplace and political space,History,Ancient Rome,starter
Which battle saw three Roman legions destroyed in AD 9?,Battle of Teutoburg Forest,History,Ancient Rome,hard
"In the Roman army, what was a legion?",main Roman army unit of heavy infantry,History,Ancient Rome,mid
"In Roman religion, who or what was Jupiter?",king of the gods,History,Ancient Rome,mid
Which Roman law or reform was granted citizenship to nearly all free inhabitants (AD 212)?,Constitutio Antoniniana,History,Ancient Rome,mid
"In Roman literature, who was Ovid?",poet who wrote 'Metamorphoses',History,Ancient Rome,hard
"In Roman religion, who or what was Venus?",goddess of love,History,Ancient Rome,mid
Which Roman emperor was known as built a defensive wall in northern Britain?,Hadrian,History,Ancient Rome,starter
Which battle saw Octavian defeated Antony and Cleopatra in 31 BC?,Battle of Actium,History,Ancient Rome,starter
Which Roman emperor was known as created the Tetrarchy system?,Diocletian,History,Ancient Rome,mid
"In the Roman Empire, what was Germania?",frontier region across the Rhine,History,Ancient Rome,starter
"In Roman society, what were toga?",garment worn by Roman male citizens,History,Ancient Rome,starter
Which battle saw Romans defeated Boudica in AD 61?,Battle of Watling Street,History,Ancient Rome,hard
"In Roman economy, what was the amphorae?",ceramic vessels used to transport goods like wine and oil,History,Ancient Rome,mid
"In the Roman army, what was a triarii?",veteran soldiers in the Roman Republic's legions,History,Ancient Rome,hard
Which Roman law or reform was restored consulship to plebeians (367 BC)?,Lex Licinia Sextia,History,Ancient Rome,starter
Which Roman emperor was known as last emperor of the Western Roman Empire?,Romulus Augustulus,History,Ancient Rome,mid
When did the Crisis of the Third Century occur?,AD 235–284,History,Ancient Rome,mid
"In Roman religion, who or what was augurs?",priests who interpreted the will of the gods through birds,History,Ancient Rome,starter
"In Roman engineering, what was the hypocaust?",underfloor heating system,History,Ancient Rome,mid
"In Roman society, what were stola?",traditional garment of Roman women,History,Ancient Rome,mid
"In the Roman Empire, what was Asia Minor?",region with wealthy provinces like Asia and Bithynia,History,Ancient Rome,starter
"In Roman religion, who or what was haruspices?",priests who read omens from animal entrails,History,Ancient Rome,hard
Which Roman emperor was known as last emperor of the Western Roman Empire?,Romulus Augustulus,History,Ancient Rome,starter
Which Roman emperor was known as consolidated borders and built a wall in Britain?,Hadrian,History,Ancient Rome,starter
"In the Roman Empire, what was Pannonia?",Danubian province with many legions,History,Ancient Rome,starter
"In the Roman Empire, what was Gallia Belgica?",northern Gallic province bordering the Rhine,History,Ancient Rome,starter
Which Roman emperor was known as opened the Colosseum and dealt with Vesuvius eruption?,Titus,History,Ancient Rome,starter
Which battle saw Crassus was defeated by the Parthians in 53 BC?,Battle of Carrhae,History,Ancient Rome,mid
Which Roman emperor was known as co-Augustus with Diocletian?,Maximian,History,Ancient Rome,starter
Which Roman emperor was known as strengthened the western frontiers?,Valentinian I,History,Ancient Rome,starter
"In the Roman Empire, what was Aegyptus?",imperial province supplying grain to Rome,History,Ancient Rome,starter
"In late antiquity and after, what was Sack of Rome by Vandals?",AD 455 under Genseric,History,Ancient Rome,hard
Which Roman emperor was known as issued the Constitutio Antoniniana in AD 212?,Caracalla,History,Ancient Rome,starter
"In the Roman economy, what was the solidus?",late Roman gold coin introduced by Constantine,History,Ancient Rome,mid
"In the Roman economy, what was the villa rustica?",country estate focused on agriculture,History,Ancient Rome,mid
Which Roman emperor was known as created the Tetrarchy and issued a Price Edict?,Diocletian,History,Ancient Rome,starter
Which battle saw Scipio Africanus defeated Hannibal in 202 BC?,Battle of Zama,History,Ancient Rome,mid
"In the Roman Empire, what was Moesia?",province along the lower Danube,History,Ancient Rome,starter
"In the Roman military, what was the ballista?",bolt‑throwing torsion artillery,History,Ancient Rome,starter
"In the Roman military, what was the decimation?",punishment of executing one in ten soldiers for mutiny,History,Ancient Rome,mid
"In the Roman Empire, what was Judea?",province of repeated Jewish revolts,History,Ancient Rome,starter
"In the Roman Empire, what was Dacia?",province annexed by Trajan in AD 106,History,Ancient Rome,starter
"In the Roman military, what was the tribune?",staff officer in a legion,History,Ancient Rome,mid
"In Roman religion, who was Sol Invictus?","the Unconquered Sun, associated with late imperial cult",History,Ancient Rome,starter
"In the Roman military, what was the legate?",senatorial commander of a legion,History,Ancient Rome,mid
Which Roman emperor was known as successor and stepson of Augustus?,Tiberius,History,Ancient Rome,starter
"In the Roman military, what was the lorica segmentata?",segmented plate armour,History,Ancient Rome,starter
"In the Roman economy, what was the publicani?",tax farmers of the Republic,History,Ancient Rome,mid
"Which Roman law or reform was criminal law concerning treason (Sulla, 81 BC)?",Lex Cornelia de maiestate,History,Ancient Rome,mid
"In Roman society, what was paterfamilias?",male head of a Roman household,History,Ancient Rome,starter
What was Saturnalia in Roman religion?,December festival with gift‑giving and role reversals,History,Ancient Rome,starter
Which Roman emperor was known as made Nicene Christianity the state religion?,Theodosius I,History,Ancient Rome,starter
"In Roman religion, what was the role of the Pontifex Maximus?",chief priestly office at Rome,History,Ancient Rome,mid
"In Roman literature and thought, who was Catullus?",poet noted for love lyrics,History,Ancient Rome,mid
Which Roman emperor was known as killed at the Battle of Adrianople?,Valens,History,Ancient Rome,starter
Which Roman emperor was known as assassinated by the Praetorian Guard?,Caligula,History,Ancient Rome,starter
Which Roman emperor was known as first of the Year of the Four Emperors (AD 69)?,Galba,History,Ancient Rome,starter
"In the Roman economy, what was the aureus?",high‑value gold coin of the empire,History,Ancient Rome,mid
"In Roman religion, what was the role of the haruspices?",diviners who inspected sacrificial entrails,History,Ancient Rome,mid
Which Roman law or reform was restored the consulship to plebeians (367 BC)?,Lex Licinia Sextia,History,Ancient Rome,mid
Which Roman emperor was known as son of Constantine who fought Shapur II?,Constantius II,History,Ancient Rome,starter
Which Roman emperor was known as founded the Severan dynasty?,Septimius Severus,History,Ancient Rome,starter
"In Roman society, what was garum?",fermented fish sauce used widely in cooking,History,Ancient Rome,starter
Which battle saw Rome killed Hasdrubal Barca in 207 BC?,Battle of the Metaurus,History,Ancient Rome,mid
Which Roman emperor was known as began the adoptive succession of the Five Good Emperors?,Nerva,History,Ancient Rome,starter
"In the Roman economy, what was the denarius?",standard silver coin for centuries,History,Ancient Rome,mid
"In the Roman military, what was the pilum?",heavy throwing spear,History,Ancient Rome,starter
Which battle saw Caesar defeated Pompey in 48 BC?,Battle of Pharsalus,History,Ancient Rome,mid
"In the Roman military, what was the auxilia?",non‑citizen troops supporting legions,History,Ancient Rome,starter
"In Roman society, what was stola?",long garment traditionally worn by Roman women,History,Ancient Rome,starter
"In the Roman military, what was the maniple?",tactical unit of the mid‑Republic,History,Ancient Rome,starter
Which battle saw Hannibal inflicted a massive defeat on Rome in 216 BC?,Battle of Cannae,History,Ancient Rome,mid
"In the Roman Empire, what was Baetica?",southern Hispania famous for olive oil,History,Ancient Rome,starter
"In the Roman Empire, what was Gallia Narbonensis?",older Roman province in southern Gaul,History,Ancient Rome,starter
"In the Roman military, what was the praetorian prefect?",commander of the Praetorian Guard,History,Ancient Rome,mid
